supplier,supplier_label,supplier_name,spend,transactions
GB391171065,Civica UK Limited,Civica UK Limited,956537.22,166
GB902188441,Acorn Care & Education Ltd,Acorn Care & Education Ltd,924239.48,202
GB248280396,Cygnet Care Services Limited,Cygnet Care Services Limited,923945.08,117
GB239731641,BUPA CARE SERVICES,BUPA CARE SERVICES,908035.25,795
GB915896970,Lifeways Paragon Ltd,Lifeways Paragon Ltd,885806.12,559
GB594959072,Care UK Community Partnerships Ltd,Care UK Community Partnerships Ltd,878600.12,494
158101,Highland Ornate Ltd,Highland Ornate Ltd,878592.2,3681
165120,Prosperity Plus Healthcare Limited,Prosperity Plus Healthcare Limited,877635.71,3960
166265,VSPG Housing 2 LTD,VSPG Housing 2 LTD,843476.0,36
102046,ZURICH MUNICIPAL,ZURICH MUNICIPAL,825000.0,13
GB915896970,Lifeways Paragon Ltd,Lifeways Community Care Limited,817176.7,257
GB264345501,Autism Initiatives,Autism Initiatives,810543.1,309
160256,Excel Care (UK) Ltd,Excel Care (UK) Ltd,800070.9500000001,331
163542,Eco Babe Private Day Nursery Ltd,Eco Babe Private Day Nursery Ltd,791895.31,50
102468,BARCLAYS CAPITAL,BARCLAYS CAPITAL,785066.44,4
126515,Precious Little Ones t/a Bright Fut,Precious Little Ones t/a Bright Fut,779312.9,54
103502,Sale Private Day Nursery Ltd,Sale Private Day Nursery Ltd,772210.53,69
GB221133861,Ideal Carehomes (Number One) Ltd,Ideal Carehomes (Number One) Ltd,764138.73,663
102557,Heathside Care Home Ltd,Heathside Care Home Ltd,759476.37,654
100306,Jemcare Ltd,Jemcare Ltd,758999.32,760
164860,BeKind Care Limited,BeKind Care Limited,757000.01,25
166905,Green Apartments London Ltd,Green Apartments London Ltd,750700.23,28
130427,Irlam Road Nursery,Irlam Road Nursery,745858.1,49
103483,Storal Learning Ltd,Storal Learning Ltd,745384.22,65
101997,PRUDENTIAL LIFE & PENSIONS,PRUDENTIAL LIFE & PENSIONS,728242.66,76
GB654929594,Greater Manchester Mental Health NH,Greater Manchester Mental Health NH,715054.5,20
148732,Zeno Ltd,Zeno Ltd,704532.02,62
GB156725100,NHS Property Services Ltd,NHS Property Services Ltd,703346.57,47
140273,Canterbury Road Day Nursery Ltd,Canterbury Road Day Nursery Ltd,699545.38,60
167284,Aaban Partnership Ltd,Aaban Partnership Ltd,694713.9,30
GB483617173,Tile Hill,Tile Hill,692195.0,43
GB328498070,Alined Construction Ltd,Alined Construction Ltd,679565.6,5
166954,Claremont Care Home Ltd,Claremont Care Home Ltd,678900.5399999999,679
161912,Amberley Care Home Ltd,Amberley Care Home Ltd,678653.19,520
113502,Caritas Services Ltd,Caritas Services Ltd,677148.06,84
GB815840331,Gallaway Construction Ltd,Gallaway Construction Ltd,675590.94,13
147121,Hale Day Nursery Ltd,Hale Day Nursery Ltd,667735.27,64
101090,Elmscot Day Nursery Ltd,Elmscot Day Nursery Ltd,662402.63,45
167070,Wyncourt Nursing Home Ltd,Wyncourt Nursing Home Ltd,662239.1,365
102064,Oldfield Bank Residential Care Home,Oldfield Bank Residential Care Home,655167.78,686
166584,A Wilderness Way Ltd,A Wilderness Way Ltd,651449.46,27
GB765332033,Dimensions UK Ltd,Dimensions UK Ltd,649404.61,168
128474,Victoria Road Day Nursery,Victoria Road Day Nursery,639707.34,57
GB317880385,Cucumber Recruitment Ltd,Cucumber Recruitment Ltd,627913.19,263
167953,Team Lifestyle Group LTD,Team Lifestyle Group LTD,625190.94,35
GB411348137,Rossendale Sch - Aspris Child Svcs,Rossendale Sch - Aspris Child Svcs,624694.79,42
GB324544220,Salutem LD Bidco IV Ltd T/A Ambito,Salutem LD Bidco IV Ltd T/A Ambito,622271.08,125
GB654468901,NHS Greater Manchester ICB,NHS Greater Manchester ICB,608078.75,47
167018,Tulip Mental Health and Com care,Tulip Mental Health and Com care,604800.74,24
GB454091694,OLYMPIC/GOODWINS CARS LTD,OLYMPIC/GOODWINS CARS LTD,600558.48,91
159785,Llyon Health Ltd,Llyon Health Ltd,593691.6799999999,2210
156692,Inicio Group Ltd,Inicio Group Ltd,591219.94,226
GB116532927,The Networking People (TNP) Ltd,The Networking People (TNP) Ltd,588714.41,108
130428,Woodlands Nursery Ltd,Woodlands Nursery Ltd,587876.51,65
GB438951655,New Care Projects Sale (OPCO) Ltd,New Care Projects Sale (OPCO) Ltd,586838.46,459
GB184973948,PossAbilities CIC,PossAbilities CIC,574951.2,434
103503,The Village Nursery (Trafford) Ltd,The Village Nursery (Trafford) Ltd,574170.24,61
100601,Jemcare Ltd,Jemcare Ltd,571607.07,495
103507,Tiny Feet Private Day Nursery,Tiny Feet Private Day Nursery,571302.38,50
159730,Hind Care Ltd T/A Brookfield,Hind Care Ltd T/A Brookfield,562703.1,390
103899,Seashell Trust Ltd,Seashell Trust Ltd,561363.88,47
GB755243136,Methodist Homes (MHA),Methodist Homes (MHA),557539.5599999999,477
154824,Broussa Day Nursery Ltd,Broussa Day Nursery Ltd,552154.75,52
131504,ST Vincent's Nursery,ST Vincent's Nursery,548686.12,52
160135,We Support Ltd,We Support Ltd,547753.89,169
GB927406812,The Knoll Care Partnership ltd,The Knoll Care Partnership ltd,545588.07,335
GB349860318,Eric Wright Construction Ltd,Eric Wright Construction Ltd,545428.67,14
GB743731030,Chrysalis Community Group Limited,Chrysalis Community Group Limited,544020.86,4076
GB190023541,Cambian Childcare Ltd,Cambian Childcare Ltd,540732.12,37
GB974825769,Weightmans LLP,Weightmans LLP,539952.2,701
126135,Premier Care Limited,Premier Care Limited,537539.48,790
GB107831677,Zurich Insurance plc,Zurich Insurance plc,537002.3400000001,3
152093,Ordinary Lifestyles,Ordinary Lifestyles,532938.07,349
GB475189061,Veezu North Ltd T/A Club Cars,Veezu North Ltd T/A Club Cars,532340.76,276
166420,Embrace Care Ltd,Embrace Care Ltd,527367.31,135
GB382297175,Park Homes UK Ltd,Park Homes UK Ltd,523986.93000000005,611
159110,Skydda Homes Ltd T/A Urmston Manor,Skydda Homes Ltd T/A Urmston Manor,523706.17,409
160085,RK Travel Ltd,RK Travel Ltd,523635.0,71
164226,Ultimate Care Limited,Ultimate Care Limited,523524.58999999997,449
GB705850636,MHR International Ltd,MHR International Ltd,508920.0,12
GB473001821,Imperial Hospitality Management Ltd,Imperial Hospitality Management Ltd,508885.0,13
GB927406812,The Knoll Care Partnership ltd,The Knoll Care Partnership Ltd,507160.3,39
104992,Equilibrium Healthcare Ltd,Equilibrium Healthcare Ltd,505394.4,225
GB149151958,Manchester City Council,Manchester City Council,504702.87,343
GB484746209,Arthur J Gallagher Ins Brokers Ltd,Arthur J Gallagher Ins Brokers Ltd,503786.92,30
118889,Fresh Start Independence Project,Fresh Start Independence Project,501986.84,844
GB154708754,Warden Construction Ltd,Warden Construction Ltd,495643.58999999997,3
163326,Northern Healthcare Limited,Northern Healthcare Limited,493016.4,177
GB217967235,Balfour Beatty Civil Engineering Lt,Balfour Beatty Civil Engineering Lt,488187.33,12
101675,Oakfield Nursery School Ltd,Oakfield Nursery School Ltd,487507.98,43
162875,Lime Tree Primary Academy,Lime Tree Primary Academy,484863.04,26
135212,Juice Nursery Ltd,Juice Nursery Ltd,481416.99,43
GB254363408,LTE Group (Manchester College),LTE Group (Manchester College),480700.68,223
GB362561988,Barton Huxley Management LTD,Barton Huxley Management LTD,478945.35,21
149095,Standwalk Ltd,Standwalk Ltd,471217.28,99
168160,New Moon Residential Ltd,New Moon Residential Ltd,468827.64,16
103460,Happitots Day Nursery,Happitots Day Nursery,463366.26,45
158978,Park Avenue Montessori Nursery Ltd,Park Avenue Montessori Nursery Ltd,456331.39,53
103472,Atherton House Nursery Ltd,Atherton House Nursery Ltd,456254.17,48
166567,Covy Childrens Homes Ltd,Covy Childrens Homes Ltd,453431.45,31
GB927438206,Liquidlogic Ltd,Liquidlogic Ltd,450020.47,67
GB851614337,B&S Travel Limited,B&S Travel Limited,447271.5,47
103443,Copper Beeches Day Nursery Ltd,Copper Beeches Day Nursery Ltd,446023.23,47
GB248280396,Cygnet Care Services Limited,Everycorner Ltd t/a Lowry House,440924.29,63
GB686845080,Cumberland & Westmorland Schools Lt,Cumberland & Westmorland Schools Lt,438023.42,90
GB481207014,Birtenshaw,Birtenshaw,436785.49,72
103439,ALPHABETS DAY NURSERIES,ALPHABETS DAY NURSERIES,436762.33,48
GB422773303,LRP Building Services Limited,LRP Building Services Limited,436576.69,36
162046,Pure Care Homes Ltd,Pure Care Homes Ltd,434035.83,48
155042,Mayfield Care Home Ltd,Mayfield Care Home Ltd,425931.73,423
164717,WT UK Opco 4 Limited,WT UK Opco 4 Limited,425883.42,299
121208,Chester Road Private Day Nursery,Chester Road Private Day Nursery,425140.49,62
103448,Mulberry House Day Nursery Ltd,Mulberry House Day Nursery Ltd,421910.01,64
GB560246068,Mental Health Care (UK) Ltd,Mental Health Care (UK) Ltd,414749.37,37
155256,Star Domiciliary Care Ltd,Star Domiciliary Care Ltd,412378.68,2248
GB899322375,Leonard Cheshire Disability,Leonard Cheshire Disability,410351.74,437
166988,KIDS INC RESIDENTIAL SERVICES LTD,KIDS INC RESIDENTIAL SERVICES LTD,409860.0,13
GB261300550,Architrail Velosolutions UK Ltd,Architrail Velosolutions UK Ltd,406488.1,6
165214,Palmlove Care Services Ltd,Palmlove Care Services Ltd,403388.13,2002
157113,London & Manchester Healthcare,London & Manchester Healthcare,402958.7,160
161274,BeeCared4 Ltd,BeeCared4 Ltd,399637.37,2128
155459,Abbotsford Preparatory School Ltd,Abbotsford Preparatory School Ltd,398895.81,63
163103,Lifestyle by Homecare Services Ltd,Lifestyle by Homecare Services Ltd,398880.23,2521
157184,Brentwood Community College,Brentwood Community College,398196.0,12
158360,ROC Northwest Ltd,ROC Northwest Ltd,397076.58,51
GB218154815,Salford City College,Salford City College,393689.31,99
155067,Eureka Day Nurseries Ltd,Eureka Day Nurseries Ltd,392806.24,78
103601,Care Support & Dom Services Ltd,Care Support & Dom Services Ltd,392065.78,319
GB411348137,Rossendale Sch - Aspris Child Svcs,Aspris Child Svcs Ltd Arden College,385529.94,9
GB707999869,National Teaching & Adv Service Ltd,National Teaching & Adv Service Ltd,382078.4,362
GB205671424,Tordan Healthcare Limited,Tordan Healthcare Limited,376138.82,49
138724,LITTLE PETALS DAY NURSEY LTD,LITTLE PETALS DAY NURSEY LTD,374897.4,47
167657,Cumulus Care Services,Cumulus Care Services,374059.99,27
GB478343949,Chaigeley Educational Foundation,Chaigeley Educational Foundation,373243.68,160
GB212968892,Lakeview Health Care Ltd,Lakeview Health Care Ltd,373086.93,63
GB303236743,Trafford Carers Centre,Trafford Carers Centre,370989.5,19
103444,Cornhill Kindergarten Limited,Cornhill Kindergarten Limited,370600.0,43
158541,CC Childcare Limited,CC Childcare Limited,368459.79,47
149353,Aspris Care North West,Aspris Care North West,367087.66,23
102910,Equilibrium Healthcare Ltd,Equilibrium Healthcare Ltd,367034.56,178
GB156017329,Irwell Valley Housing Association,Irwell Valley Housing Association,366573.4,69
GB876336195,Great Places Housing Association,Great Places Housing Association,364346.5,19
100806,Hind Care Ltd,Hind Care Ltd,363851.72000000003,260
GB773961880,L&Q T/A London & Quadrant Housing T,L&Q T/A London & Quadrant Housing T,361050.36,37
153948,HG Care Services Ltd,HG Care Services Ltd,357396.35000000003,209
GB823809031,Alternative Futures Group Ltd,Alternative Futures Group Ltd,355139.93,98
GB121527841,North Cestrian School,North Cestrian School,353919.8,32
GB158112523,SignHealth,SignHealth,349912.82,111
GB167220813,Youbus Ltd,Youbus Ltd,341049.72000000003,57
166563,Brinscall Care Limited,Brinscall Care Limited,328500.0,15
GB834851512,Sale High School,Sale High School,326021.4,8
GB441901809,Global Make-Up Hair Prod Acad Ltd,Global Make-Up Hair Prod Acad Ltd,323122.71,73
GB945693968,North Lakes Children`s Services Ltd,North Lakes Children`s Services Ltd,322057.85,23
GB297280913,Wave - Anglian Water Business (Natl,Wave - Anglian Water Business (Natl,318572.73,1921
103442,Chestnuts Day Nursery,Chestnuts Day Nursery,318092.65,54
100675,Drew Care Ltd,Drew Care Ltd,316346.61,194
158216,Amaryllis Day Nursery Ltd,Amaryllis Day Nursery Ltd,315674.97,59
163615,Rank Events,Rank Events,315125.0,54
160142,Invitation 2 Play,Invitation 2 Play,314587.33999999997,54
102455,HMRC,HMRC,312282.75,14
133997,New Horizons (Stockport) Ltd,New Horizons (Stockport) Ltd,307722.2,39
149298,Social Care Services (Clayton) Ltd,Social Care Services (Clayton) Ltd,304598.32,91
163013,Divrse Ltd,Divrse Ltd,303606.26,31
GB195388946,Partington Central Academy,Partington Central Academy,302798.17,19
GB588902488,Manchester YMCA,Manchester YMCA,302780.0,105
157476,Best At Home Adult Care Private Ltd,Best At Home Adult Care Private Ltd,299144.07,1536
151181,Afifah Primary SchoolÂ,Afifah Primary SchoolÂ,291667.77,44
153449,Pro Support Ltd,Pro Support Ltd,291612.87,108
GB577704800,Corona Energy Retail 4 Limited,Corona Energy Retail 4 Limited,290833.39,570
162109,St Antonys RC School (Academy),St Antonys RC School (Academy),290625.29,32
GB975281879,Precedo Healthcare Services Ltd,Precedo Healthcare Services Ltd,289741.28,339
GB494703129,Sap (UK) Ltd,Sap (UK) Ltd,289502.9,3
GB939330804,Ameon Utilities Ltd,Ameon Utilities Ltd,289113.7,3
156667,Mysa Care (Ardour) Ltd,Mysa Care (Ardour) Ltd,288990.97000000003,144
GB146594245,Transport for Greater Manchester,Transport for Greater Manchester,287654.05,30
162871,Acre Hall Primary School,Acre Hall Primary School,282622.0,12
GB371845576,XMA Ltd,XMA Ltd,280218.54,44
149353,Aspris Care North West,Sandcastle Care Ltd,280006.26,22
GB945776864,Deepdene Care Ltd,Deepdene Care Ltd,278410.13,271
100785,Sisters Of St Joseph CIO,Sisters Of St Joseph CIO,278371.32,229
165486,ICRIT Healthcare Ltd,ICRIT Healthcare Ltd,274648.38999999996,61
162185,Footsteps A Path To Change 08 Ltd,Footsteps A Path To Change 08 Ltd,273335.0,15
GB481889533,Thompsons Academy Ltd,Thompsons Academy Ltd,273305.82,161
GB927104637,Keys PCE Ltd,Keys PCE Ltd,273119.71,46
168154,Inspiring Learners Multi Academy Tr,Inspiring Learners Multi Academy Tr,271906.57,11
132196,Little Acorns Nurseries Ltd,Little Acorns Nurseries Ltd,271218.64,55
GB239278083,Altrincham Bid Ltd,Altrincham Bid Ltd,271044.76,19
101134,Ferrol Lodge Care Home Limited,Ferrol Lodge Care Home Limited,267381.42,212
GB736317923,CBRE Limited,CBRE Limited,265484.0,15
GB452765377,Altus Social Ltd,Altus Social Ltd,261323.91,307
167917,Nurture Care Group Ltd,Nurture Care Group Ltd,260240.50999999998,34
165643,Brookfield Care (NW) Ltd,Brookfield Care (NW) Ltd,257064.3,26
158719,Advocacy Focus,Advocacy Focus,256283.36,118
159800,London & Manchester Healthcare,London & Manchester Healthcare,256148.42,147
GB839835673,Mazars LLP,Mazars LLP,254657.5,3
167556,Age UK Salford & Trafford CIO,Age UK Salford & Trafford CIO,248703.05,610
163756,Trafford Community Collective,Trafford Community Collective,247086.0,16
GB153510496,F Parkinson Limited,F Parkinson Limited,246794.63,1
GB236778328,Stannah Lift Services Ltd,Stannah Lift Services Ltd,246623.41,48
167079,Springcare (Wythenshawe) Ltd,Springcare (Wythenshawe) Ltd,245086.11,213
166192,PBT Safer Care Ltd,PBT Safer Care Ltd,244170.72,593
137973,Kenwood Day Nursery Limited,Kenwood Day Nursery Limited,243966.49,37
GB119058320,Wellacre Technology Academy,Wellacre Technology Academy,243947.79,30
166486,Namdiv Ltd,Namdiv Ltd,243451.42,179
156659,Your Chapter,Your Chapter,241965.06,21
101988,Partington Parish Council,Partington Parish Council,241597.15,7
155982,Washway Road Day Nursery,Washway Road Day Nursery,240244.09,50
132374,ACORNS DAY NURSERY,ACORNS DAY NURSERY,239938.07,44
161441,Banana Moon Childcare Ltd,Banana Moon Childcare Ltd,239909.69,55
166919,Tiny Turtles Urmston,Tiny Turtles Urmston,237329.91,54
168139,Care in Mind Residential Svc(s) Ltd,Care in Mind Residential Svc(s) Ltd,236218.13,24
168577,JN HEALTHCARE GROUP LTD,JN HEALTHCARE GROUP LTD,233212.15,17
GB693380214,The Environment Partnership TEP Ltd,The Environment Partnership TEP Ltd,232249.44999999998,18
GB248280396,Cygnet Care Services Limited,Caireach Ltd t/a Cygnet Health,231325.71000000002,21
GB578153121,Sale PFI Ltd,Equans FM Limited,229781.26,27
GB212968892,Lakeview Health Care Ltd,Adswood Lodge Health Care Limited,229153.0,42
154962,AspireOne Care Ltd,AspireOne Care Ltd,228598.65,26
GB991265787,Whistl UK Ltd,Whistl UK Ltd,227389.47,621
GB524704461,Sense,Sense,227101.54,219
163956,Enabling Futures,Enabling Futures,226248.9,23
153914,Gorse Hill Studios Creative Communi,Gorse Hill Studios Creative Communi,225721.61,69
103506,Thorley Day Nursery,Thorley Day Nursery,225381.75,48
166194,Thrive Foster Care Ltd,Thrive Foster Care Ltd,225129.84,70
167530,Our Lady of the Rosary RC Primary,Our Lady of the Rosary RC Primary,224779.39,14
GB279776624,Mosscare St Vincents Housing Group,Mosscare St Vincents Housing Group,224670.15,16
162995,Ivy House Day Nursery Ltd,Ivy House Day Nursery Ltd,223256.49,49
168170,A-Triangle Care Ltd,A-Triangle Care Ltd,223180.0,14
GB372626585,Bibby BM Ltd,Bibby BM Ltd,222480.0,50
153277,Glenn Rees Project Ltd,Glenn Rees Project Ltd,222449.0,75
GB320058547,Rtech Group Ltd,Rtech Group Ltd,220603.44,227
128362,Unity Homes Ltd,Unity Homes Ltd,220021.73,169
GB478367733,Clear Steps Plus Education,Clear Steps Plus Education,219555.65,84
167130,XYP Childcare Limited,XYP Childcare Limited,218910.84000000003,28
GB461819771,TLC: Talk Listen Change,TLC: Talk Listen Change,217178.41999999998,27
168320,Solutions In Service Ltd,Solutions In Service Ltd,217113.75,30
GB315483507,ISW Care Services Ltd,ISW Care Services Ltd,217094.41,111
165667,Oakleaf Care Ltd,Oakleaf Care Ltd,216197.61,71
GB130891325,Five Rise Contractors,Five Rise Contractors,215244.44,10
165710,Independent Together Ltd,Independent Together Ltd,214984.26,89
143252,iMap Centre Ltd,iMap Centre Ltd,212062.44999999998,46
GB666416908,Speller Metcalfe Malvern Ltd,Speller Metcalfe Malvern Ltd,211988.07,3
144132,Coveleaf Ltd,Coveleaf Ltd,211870.72,142
GB734653818,Opening the Book Ltd,Opening the Book Ltd,211660.0,5
156667,Mysa Care (Ardour) Ltd,EAM House Ltd,210181.68,36
GB199401480,Kedleston (High Peak School) Ltd,Kedleston (High Peak School) Ltd,209434.40999999997,16
167854,Polar Childcare,Polar Childcare,209017.13999999998,15
168138,Mirador Care Ltd,Mirador Care Ltd,208800.0,7
103781,BICKHAM HOUSE,BICKHAM HOUSE,207620.06,215
149176,Forest Gate Academy,Forest Gate Academy,207013.34,16
167413,Hapin Care Ltd,Hapin Care Ltd,206470.71,13
GB982544196,AMW Lift and Mobility Services Ltd,AMW Lift and Mobility Services Ltd,205767.56,14
154250,Willow Tree Pre-School Limited,Willow Tree Pre-School Limited,205464.53,56
GB480844374,Remarkable Autism Ltd,Remarkable Autism Ltd,202489.9,8
167296,Bridgewater Nursery Limited,Bridgewater Nursery Limited,201980.2,63
151029,Park Road Sale Primary School,Park Road Sale Primary School,201683.0,16
103505,The Park Playgroup,The Park Playgroup,201119.85,62
GB903956413,AFJ Limited,AFJ Limited,200523.45,27
GB163737982,Hamptons Resourcing Ltd,Hamptons Resourcing Ltd,196906.63999999998,57
164708,Flixton Girls Sch Vantage Acad Tr,Flixton Girls Sch Vantage Acad Tr,195054.56,23
GB149193544,Tameside MBC,Tameside MBC,193378.13,26
151600,Heather Day Care Ltd,Heather Day Care Ltd,193186.77,807
165397,Enhanced Young Persons Care Limited,Enhanced Young Persons Care Limited,193128.01,61
167331,Cottongrass Homes Limited,Cottongrass Homes Limited,191176.28,120
GB361793182,Cheshire Tree Care Altrincham Ltd,Cheshire Tree Care Altrincham Ltd,191109.53,66
127029,HC-1 (Pendleton Court),HC-1 (Pendleton Court),188099.82,154
GB997724255,Easy Avenues Ltd,Easy Avenues Ltd,188008.8,680
168868,Blue Ribbon Healthcare Ltd,Blue Ribbon Healthcare Ltd,186527.88,16
100324,Macintyre Care,Macintyre Care,185110.84,20
165679,Little Stars Childcare Sale Ltd,Little Stars Childcare Sale Ltd,184953.13,39
149020,Right Step Limited,Right Step Limited,184340.85,165
154126,A Star Support Services Ltd,A Star Support Services Ltd,182961.88999999998,99
GB773961880,L&Q T/A London & Quadrant Housing T,London & Quadrant Housing Trust,182536.22,11
164802,When the Flag Drops Ltd,When the Flag Drops Ltd,182318.24,119
159437,Bollin Primary School,Bollin Primary School,180329.8,13
168533,Hudah Group Ltd,Hudah Group Ltd,179335.38,33
165736,Corpus Christi Catholic Acad Trust,Corpus Christi Catholic Acad Trust,178598.0,11
162873,Barton Clough Primary School,Barton Clough Primary School,175854.0,13
119381,Parallel Parents Ltd,Parallel Parents Ltd,175839.43,91
GB266567366,Alcedo Orange Limited,Alcedo Orange Limited,175082.68,499
168251,Onextra Care Ltd,Onextra Care Ltd,174600.0,8
162767,Cathmor Limited,Cathmor Limited,174364.74,91
GB626524835,HIGHFIELD ROAD,HIGHFIELD ROAD,173970.75,21
GB152606918,Focus Academy Trust UK Ltd,Focus Academy Trust UK Ltd,173752.72,16
164083,CFS Care,CFS Care,173631.1,69
156006,GGS Care Home Limited,GGS Care Home Limited,173388.77,115
149935,Bowdon Pre-school Ltd,Bowdon Pre-school Ltd,172565.11,23
GB192833974,Olive Branch Fostering Ltd,Olive Branch Fostering Ltd,172428.65,96
GB212968892,Lakeview Health Care Ltd,Thames Health Care Ltd,171947.41,21
GB809707706,Deloitte LLP,Deloitte LLP,171850.0,7
GB662490134,Environment Agency,Environment Agency,171110.51,15
158702,Inspiring Learners Multi Acad Trust,Inspiring Learners Multi Acad Trust,170980.0,13
GB981989739,Berry Recruitment Ltd,Berry Recruitment Ltd,170916.4,647
142871,Care Network Solutions Ltd,Care Network Solutions Ltd,170709.64,21
101870,Forest School Limited,Forest School Limited,170667.19,28
GB875793460,Identity Consult Group Limited,Identity Consult Group Limited,168581.98,46
